P.1,P.2,P.3,P.4,P.5,P.6,score,positive
1,0,0,0,0,0,2.1180000000000003,TRUE
0.9,0.1,0,0,0,0,1.9462000000000002,TRUE
0.8,0.2,0,0,0,0,1.7544000000000004,TRUE
0.7,0.3,0,0,0,0,1.5426000000000002,TRUE
0.6,0.4,0,0,0,0,1.3108,TRUE
0.5,0.5,0,0,0,0,1.0590000000000002,TRUE
0.4,0.6,0,0,0,0,0.7872000000000001,TRUE
0.3,0.7,0,0,0,0,0.49540000000000006,TRUE
0.2,0.8,0,0,0,0,0.18359999999999999,TRUE
0.1,0.9,0,0,0,0,-0.1482,FALSE
0,1,0,0,0,0,-0.5,FALSE
0.9,0,0.1,0,0,0,2.0613709180756477,TRUE
0.8,0.1,0.1,0,0,0,1.889570918075648,TRUE
0.7,0.2,0.1,0,0,0,1.6977709180756477,TRUE
0.6,0.3,0.1,0,0,0,1.4859709180756477,TRUE
0.5,0.4,0.1,0,0,0,1.2541709180756477,TRUE
0.4,0.5,0.1,0,0,0,1.002370918075648,TRUE
0.3,0.6,0.1,0,0,0,0.7305709180756477,TRUE
0.2,0.7,0.1,0,0,0,0.43877091807564783,TRUE
0.1,0.8,0.1,0,0,0,0.12697091807564764,TRUE
0,0.9,0.1,0,0,0,-0.20482908192435234,FALSE
0.8,0,0.2,0,0,0,2.01580275816017,TRUE
0.7,0.1,0.2,0,0,0,1.84400275816017,TRUE
0.6,0.2,0.2,0,0,0,1.6522027581601697,TRUE
0.5,0.3,0.2,0,0,0,1.44040275816017,TRUE
0.4,0.4,0.2,0,0,0,1.20860275816017,TRUE
0.3,0.5,0.2,0,0,0,0.9568027581601699,TRUE
0.2,0.6,0.2,0,0,0,0.6850027581601699,TRUE
0.1,0.7,0.2,0,0,0,0.3932027581601699,TRUE
0,0.8,0.2,0,0,0,0.08140275816016973,TRUE
0.7,0,0.3,0,0,0,1.9824588075760032,TRUE
0.6,0.1,0.3,0,0,0,1.810658807576003,TRUE
0.5,0.2,0.3,0,0,0,1.6188588075760033,TRUE
0.4,0.3,0.3,0,0,0,1.4070588075760033,TRUE
0.3,0.4,0.3,0,0,0,1.175258807576003,TRUE
0.2,0.5,0.3,0,0,0,0.9234588075760033,TRUE
0.1,0.6,0.3,0,0,0,0.6516588075760033,TRUE
0,0.7,0.3,0,0,0,0.3598588075760032,TRUE
0.6,0,0.4,0,0,0,1.9626246976412705,TRUE
0.5,0.1,0.4,0,0,0,1.7908246976412703,TRUE
0.4,0.2,0.4,0,0,0,1.5990246976412705,TRUE
0.3,0.3,0.4,0,0,0,1.3872246976412703,TRUE
0.2,0.4,0.4,0,0,0,1.1554246976412703,TRUE
0.1,0.5,0.4,0,0,0,0.9036246976412703,TRUE
0,0.6,0.4,0,0,0,0.6318246976412705,TRUE
0.5,0,0.5,0,0,0,1.9577212707001284,TRUE
0.4,0.1,0.5,0,0,0,1.7859212707001282,TRUE
0.3,0.2,0.5,0,0,0,1.5941212707001284,TRUE
0.2,0.3,0.5,0,0,0,1.3823212707001282,TRUE
0.1,0.4,0.5,0,0,0,1.1505212707001282,TRUE
0,0.5,0.5,0,0,0,0.8987212707001282,TRUE
0.4,0,0.6,0,0,0,1.9693188003905089,TRUE
0.3,0.1,0.6,0,0,0,1.7975188003905087,TRUE
0.2,0.2,0.6,0,0,0,1.605718800390509,TRUE
0.1,0.3,0.6,0,0,0,1.393918800390509,TRUE
0,0.4,0.6,0,0,0,1.162118800390509,TRUE
0.3,0,0.7,0,0,0,1.9991527074704765,TRUE
0.2,0.1,0.7,0,0,0,1.8273527074704767,TRUE
0.1,0.2,0.7,0,0,0,1.6355527074704765,TRUE
0,0.3,0.7,0,0,0,1.4237527074704766,TRUE
0.2,0,0.8,0,0,0,2.0491409284924678,TRUE
0.1,0.1,0.8,0,0,0,1.877340928492468,TRUE
0,0.2,0.8,0,0,0,1.6855409284924678,TRUE
